precinct_text_name,Count
E. Sibley,67
E.Meredith,38
EA01,472
Eagle,99
Eagle Township Prct 3,21
East Branch,130
East Cottonwood Falls,215
East Ellsworth 1-18,446
East Ellsworth 2-19,397
East Elm Twp,143
East Erie Twp,426
East Fairview,719
East Falls,93
East Hale Twp,87
East Hess Twp,115
East Illinois,16
East Lincoln 107,25
East Lincoln 64,148
East Marion Township,335
East Middle Creek Twp,951
East Morgan Twp,206
East Ogallah Township,51
East Peck - Tecumseh,445
East Rossville - Rossville,699
East Sarcoxie Township,665
East Second,470
East Silver Lake - Silver Lake,845
East Soldier - Soldier,796
East Strong,98
East Strong City,250
East Third,939
East Union Township,1294
East Valley Twp H6,318
East Valley Twp Part A H9,17
East Valley Twp Part B H9,1
East Washington Twp,128
East Wichita - Soldier,1076
Easton City,130
Easton/Easton,726
EB01,654
EBC 111,803
ED01-01,2704
ED02-01,403
ED02-02,9
Eden,54
Eden Twnshp H79,293
Eden Twshp H116,27
Edgerton 0-01,1169
Edgerton 0-02,2
Edgerton 0-05,6
Edgerton 0-06,2
Edgerton 0-08,4
Edgerton 0-09,3
Effingham City,344
EG/11,566
El Dorado Twp East,136
El Dorado Twp West,400
El Dorado Twp West B,2
El Dorado W1,2656
El Dorado W2,3692
El Dorado W3,705
El Dorado W4,1712
El Dorado W4 A,35
Elbing City/Fairmount Twp,371
Elk Creek Twp / Agenda,84
Elk Falls City,95
Elk Falls Township,64
Elkader Twp.,6
Elkhart,1401
Elkhorn Township,109
Ellis City,1538
Ellsworth Twp,130
EllsworthTwp/Kanopolis,43
Elm Creek Twp,119
Elm Mills Township Prct4,87
Elmdale,26
Elmont - Soldier,1101
Elsmore City,44
Elwood City Precinct,712
Elwood Country Precinct,19
Elwood Township Prct5,132
Emma A3,381
Emmett,284
Empire Buckeye West,32
Empire Twp,220
Empire Venango East,116
Enc A - North Independence,2
Englewood,92
Ensign City,124
Enterprise 40,99
Enterprise City USD473,511
Enterprise Twp H115,422
Enterprise Twp H119,48
ER01,79
Erving Township,30
Esbon City,80
Esbon Township,41
Eureka,68
Eureka Township,12
Eureka Twp,418
Evan,443
Everest City,196
Exeter,60
Fairfield Twp CC1,26
Fairplay,85
Fairview 058,52
Fairview City,171
Fairview H79,182
Fairview Twp,690
Fairview Twp / Munden,90
Fairview Twp CC3,60
Fairway 1-01,506
Fairway 1-02,366
Fairway 2-01,350
Fairway 2-02,464
Fairway 3-01,495
Fairway 3-02,464
Fairway 4-01,234
Fairway 4-02,243
Fairway 4-03,173
Fairway 4-04,247
Fall River City,131
Fall River Twp,107
Fall River TWP,194
Falls Twnshp,121
Fancy Crk Twp,77
Fargo Township 1,98
Fargo Township 2,66
Fargo Township 3,23
Fargo Township 4,342
Farmer Twp,262
Farmington 059,270
Farmington Precinct,115
Farmington Twp,41
Five Creeks,93
Flora,75
Florence 1st,129
Florence 2nd,148
Fontana City (Osg Twp),123
Foote Twp,55
Forbes - Williamsport,99
Ford City,131
Ford Twp,98
Formoso City,53
Forrester,67
Fort Riley Pecinct B H68,757
Fort Riley Precinct A H65,582
Fort Riley Precinct B H65,457
Fort Scott 1st Ward,966
Fort Scott 2nd Ward,915
Fort Scott 3rd Ward,399
Fort Scott 4th Ward,801
Fort Scott 5th Ward,825
Fort Scott 6th Ward,2078
Fort Scott 7th Ward,1054
Fountain Twp,85
Fowler City,408
Fowler TWP,99
Fox - Soldier,828
Fragrant Hill,227
Franklin,888
Franklin East,337
Franklin Precinct,59
Franklin Township,317
Franklin Twp,1215
Fredonia Ward 1,313
Fredonia Ward 2,111
Fredonia Ward 3,142
Fredonia Ward 4,593
Freedom,133
FREEDOM D1,238
FREEDOM D5,6
Freedom Twp,123
FRIEND 122,97
Frontenac 1st Ward,772
