precinct_part_text_name,Count
313 in USD 259-4,2430
314 in USD 259-3,1437
314 in USD 259-4,667
315 in USD 259-3,1821
316 in 259-4 in RD District,485
316 in 261 in RD District,544
316 in 261 outside RD District,193
317,22
318,254
319,566
32 Fox 340-2,127
32 Fox 345-C,701
32.1,1477
32.2,90
32.3,161
32.4,20
320,661
321,98
324,920
325,1172
326 in USD 259 in RD District,1
326 in USD 261 in RD District,182
328 in USD 260,146
33 Elmont 345-B,1101
33.1,93
33.2,368
33.3,6
330,1594
331,386
332,872
333,1236
334 in USD 259,823
335 in 259-3 in RD District,3
335 in 259-4 in RD District,646
336,264
339 in USD 259-3,917
339 in USD 259-4,1035
34 Kilmer 340-2,81
34 Kilmer 345-C,135
34.1,1
34.2,14
35 Rochester 345-B,709
35.1,93
35.2,4
36 East Soldier 345-C,796
36.1,1227
36.1 Lyons 1st Ward,535
36.2,436
36.3,2
37 Whitfield 345-A,58
37 Whitfield 345-B,541
37.1,1365
37.1 Lyons 2nd Ward,563
38 Sioux 345-C,625
38.1 Lyons 3rd Ward,545
39 Pottawatomie 345-B,818
39.1,1055
39.1 Lyons 4th Ward,600
3rd Ward,701
3rd Ward - 109 1/4 C1,372
3rd Ward/333/MD1/CC3,207
3rd Ward/333/MD2/CC3,422
3rd Ward/333/MD3/CC3,313
3Y/YC Ward #1 (366 ALG),215
3Y/YC Ward #1 366 ALG,284
3Y/YC Ward #2 366 ALG,407
4-1-1 Newton City - 373,737
4-1-2 Newton City - 373,615
4-1-3 Newton City - 373,451
4-2-1 Newton City - 373,697
4-2-2 Newton City - 373,1597
4-3-1 Newton City - 373,617
4-3-2 Newton City - 373,1018
4-3-3 Newton City - 373,892
4-3-4 Newton City - 373,2090
4-4-1 Newton City - 373,788
4-4-2 Newton City - 373,1310
4-4-3 Newton City - 373,999
4-4-4 Newton City - 373,428
4 Pct 5 Ward,803
4 Pct 6 Ward H38,442
4 Pct 6 Ward H41,1022
4.1,866
4.1 Almena City,242
4.1 City of Frederick USD112-6,6
4.1 Cottonwood  Local Board 1,96
4.1 Longford City,73
4.10 Almena Twp (Har),1
4.11 Almena Twp (Har),7
4.2 Almena Twp,22
4.2 Eureka Township USD112-6,16
4.3 Almena Twp,50
4.4 Eureka Township USD112-6,9
4.5 Almena Twp,1
4.6 Grant Twp,27
4.7 Grant Twp,9
4.8 Grant Twp,1
4/1 450-A,431
