Registered,Count
3.42191780821918,238
3.42465753424658,219
3.42739726027397,227
3.43013698630137,105
3.43287671232877,428
3.43561643835616,3
3.43835616438356,6
3.44109589041096,265
3.44383561643836,335
3.44657534246575,360
3.44931506849315,299
3.45205479452055,56
3.45479452054795,2
3.45753424657534,6
3.46027397260274,202
3.46301369863014,209
3.46575342465753,124
3.46849315068493,87
3.47123287671233,337
3.47397260273973,2
3.47671232876712,18
3.47945205479452,346
3.48219178082192,295
3.48493150684931,280
3.48767123287671,167
3.49041095890411,337
3.49315068493151,2
3.4958904109589,10
3.4986301369863,253
3.5013698630137,231
3.5041095890411,246
3.50684931506849,71
3.50958904109589,399
3.51232876712329,4
3.51506849315069,9
3.51780821917808,220
3.52054794520548,251
3.52328767123288,215
3.52602739726027,122
3.52876712328767,389
3.53150684931507,5
3.53424657534247,6
3.53698630136986,283
3.53972602739726,218
3.54246575342466,127
3.54520547945205,425
3.54794520547945,25
3.55068493150685,3
3.55342465753425,2
3.55616438356164,281
3.55890410958904,319
3.56164383561644,246
3.56438356164384,95
3.56712328767123,428
3.56986301369863,10
3.57260273972603,1
3.57534246575342,278
3.57808219178082,238
3.58082191780822,220
3.58356164383562,424
3.58630136986301,2
3.58904109589041,3
3.59178082191781,4
3.59452054794521,226
3.5972602739726,280
3.6,194
3.6027397260274,172
3.60547945205479,1
3.61095890410959,2
3.61369863013699,101
3.61643835616438,149
3.61917808219178,215
3.62191780821918,198
3.62465753424658,331
3.62739726027397,6
3.63013698630137,6
3.63287671232877,362
3.63561643835616,495
3.63835616438356,492
3.64109589041096,581
3.64383561643836,319
3.64657534246575,5
3.64931506849315,3
3.65205479452055,330
3.65479452054795,771
3.65753424657534,753
3.66027397260274,866
3.66301369863014,877
3.66575342465753,1
3.66849315068493,4
3.67123287671233,706
3.67397260273973,766
3.67671232876712,1272
3.67945205479452,827
3.68219178082192,655
3.68493150684932,1
3.68767123287671,3
3.69041095890411,4
3.69315068493151,3
3.6958904109589,488
3.6986301369863,489
3.7013698630137,330
3.7041095890411,8
3.70684931506849,4
3.70958904109589,170
3.71232876712329,218
3.71506849315068,85
3.71780821917808,210
3.72054794520548,284
3.72328767123288,2
3.72602739726027,21
3.72876712328767,34
3.73150684931507,373
3.73424657534247,976
3.73698630136986,485
3.73972602739726,57
3.74246575342466,7
3.74520547945205,22
3.74794520547945,44
3.75068493150685,45
3.75342465753425,76
3.75616438356164,138
3.75890410958904,35
3.76164383561644,7
3.76438356164384,8
3.76712328767123,52
3.76986301369863,32
3.77260273972603,37
3.77534246575342,61
3.77808219178082,42
3.78082191780822,9
3.78356164383562,3
3.78630136986301,42
3.78904109589041,91
3.79178082191781,54
3.79452054794521,3174
3.7972602739726,1520
3.8,82
3.8027397260274,250
3.80547945205479,863
3.80821917808219,734
3.81095890410959,840
3.81369863013699,397
3.81643835616438,547
3.81917808219178,18
3.82191780821918,19
3.82465753424658,359
3.82739726027397,443
3.83013698630137,426
3.83287671232877,289
3.83561643835616,948
3.83835616438356,14
3.84109589041096,24
3.84383561643836,356
3.84657534246575,366
3.84931506849315,489
3.85205479452055,353
3.85479452054795,1030
3.85753424657534,48
3.86027397260274,50
3.86301369863014,614
3.86575342465753,1114
3.86849315068493,870
3.87123287671233,1523
3.87397260273973,1661
3.87671232876712,13
3.87945205479452,15
3.88219178082192,1295
3.88493150684932,1245
3.88767123287671,1204
3.89041095890411,991
3.89315068493151,1509
3.8958904109589,6
3.8986301369863,77
3.9013698630137,1428
3.9041095890411,1365
3.90684931506849,1014
3.90958904109589,641
3.91232876712329,313
3.91506849315068,33
3.91780821917808,34
3.92054794520548,804
3.92328767123288,1139
3.92602739726027,953
3.92876712328767,924
3.93150684931507,997
3.93424657534247,8
3.93698630136986,8
3.93972602739726,757
3.94246575342466,734
3.94520547945205,493
3.94794520547945,458
3.95068493150685,451
3.95342465753425,4
3.95616438356164,6
3.95890410958904,325
3.96164383561644,294
3.96438356164384,257
3.96712328767123,285
3.96986301369863,208
3.97260273972603,9
3.97534246575342,5
