polling_place_text_name,Count
Olsburg Fire Station,680
Onaga Community Center,1281
Open Door Baptist Church,3261
Osage City Comm Bldg,2896
Osage Mission Museum,856
Oskaloosa City Hall,1521
Oswego Community Center,1447
Otis City Hall,376
Our Saviors Luth Ch,952
Overland Park Arboretum Longhouse,3011
Overland Park Baptist Temple,2819
Overland Park Chamber of Commerce,1747
Overland Park Church of the Nazarene,1656
Overland Park Fire Department Training Center,6014
Overland Park Lutheran Church,3425
Oxford Lions Club Bldg,1058
Ozawkie Comm Bldg,1269
Palco Township Hall,260
Paola Adult Education Center,1340
Paola American Legion,4924
Park City City Hall,3631
Parker Sr. Center,721
Parkerfield Community Center,1246
Partridge Public Library,321
Pathway Church,3908
Patricia Diane Kane Community Center,3796
Paxico Senior Citizens Center,765
Payne,178
Peabody Senior Center,986
Peck Community Bldg,612
Pix Center,1423
Plains Community Building,1003
Plainville Twp Hall,1563
Planters II,3923
Pleasant Hill UMC,1651
Pleasant Valley Twp Hall,782
Pleasanton Community Center,1444
Pleasantview Baptist Church,3492
Plevna City Offices,166
Plum Shelter @ Sedgwick County Park,3458
Plymouth Congregational Church,3842
Pomona Community Building,1376
Pottawatomie Community,484
Pottorf Hall (Cico),1875
Prairie Center CGP,1611
Prairie Rock School House,124
Prairie Senior Center,867
Prairie View Community Center,189
Presbyterian Church,2173
Prescott City Hall,366
Prince of Peace - St Patrick's Parish Center,2725
Prince of Peace Luth Ch,1291
Princeton Community Building,602
Progressive Missionary Baptist Church,1855
Protection Twp. Library,421
Quindaro Community Center,3798
Radisson Hotel Lenexa,5464
Rainbow Mennonite Church,5634
Randolph VFW,782
Raymond Frye Complex 1,5848
Reading Civic Building,303
Recreation Annex Building,3579
Redeemer Church,3421
Redeemer Lutheran Church,5812
Redfield City Hall,1349
Reformation Lutheran,4926
Reformed Presbyterian Church of Shawnee,3129
Reliance Community Church,3797
Reno Twp Fire Station,1242
RH Christian Church,5998
Rice Comm Ctr,917
Richland Township Hall,1689
Richmond Community Building,560
Riley City Hall,843
Rios de Agua Viva Apostolic Church,3179
Risen Savior Lutheran Church,7349
Riverside Christian Church,3909
Riverview Baptist Church,2346
Robinson Senior Citizens Center,508
Roeland Park Community Center,3851
Rolla Community Center,392
Rolling Hills Christian,1651
Rolling Hills Presbyterian Church,2472
Rosalia Community Bldg,445
Roxbury United Parish,268
Rozel Community Center,160
Rural Water District 4,439
S Hills Mennonite Ch,2182
S Village Mobile Pk,1438
Sabetha City Hall - Berwick,283
Sabetha City Hall - Capioma,115
Sabetha City Hall - Rock Creek,329
Sabetha City Hall - Sabetha City Ward 1,448
Sabetha City Hall - Sabetha City Ward 2,491
Sabetha City Hall - Sabetha City Ward 3,448
Sabetha City Hall - Sabetha City Ward 4,333
Sacred Heart Ch,1426
Sacred Heart Church - Tong,1343
Sacred Heart Hall,3004
Sacred Heart Parish Ctr - Leav,1797
Saint Andrew Christian Church,3638
Saint Mark United Methodist Church,2209
Salem United Methodist,4429
Salvation Army,742
Sarcoxie South Fire Station,819
Sauder Community Center,845
Savior Pastoral Center,1383
SC/WS(307) Br Un Meth Ch,365
Scammon Parrish Hall,1135
Scandia Community. Center,492
Scenic Woods Clubhouse,1614
Scheels Overland Park Soccer Complex,3168
Scranton Comm Bldg,847
Sdg Co Extension Ofc,2928
Seaman Comm Ch,1808
Seasons Venue @ Watson Park,2931
Second Christian Church,2818
Sedalia Community Church,782
Sedan High School Gymnasium - New Gym,1394
SEK Impact Conference Center,5202
Selden Community Center,298
Selma/Kincaid United Methodist,492
Senior Citizen - Cofv Building- Pct 2,210
Senior Citizen - Cofv Building - Pct 1,112
Senior Citizen - Cofv Building - Pct 10,376
Senior Citizen - Cofv Building - Pct 3,335
Senior Citizen - Cofv Building - Pct 7,304
